date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:27	38210/38210	---M-Z	200	added ('OK')	text/html	etag:W/%225e60e02c-9542%22	https://technext.github.io/bocor/index.html	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/index.html	(from )
12:00:27	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73842c-247b%22	https://technext.github.io/robots.txt		(from )
12:00:28	491/491	---M--	200	added ('OK')	image/png	etag:%225e60e02c-1eb%22	https://technext.github.io/bocor/assets/img/favicon.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/favicon.png	(from https://technext.github.io/bocor/index.html)
12:00:28	1738/1738	---M--	200	added ('OK')	image/png	etag:%225e60e02c-6ca%22	https://technext.github.io/bocor/assets/img/apple-touch-icon.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/apple-touch-icon.png	(from https://technext.github.io/bocor/index.html)
12:00:29	159515/159515	---M-Z	200	added ('OK')	text/css	etag:W/%225e60e02c-26f1b%22	https://technext.github.io/bocor/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://technext.github.io/bocor/index.html)
12:00:29	92208/92208	---M-Z	200	added ('OK')	text/css	etag:W/%225e60e02c-16830%22	https://technext.github.io/bocor/assets/vendor/icofont/icofont.min.css	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/icofont/icofont.min.css	(from https://technext.github.io/bocor/index.html)
12:00:29	61773/61773	---M-Z	200	added ('OK')	text/css	etag:W/%225e60e02c-f14d%22	https://technext.github.io/bocor/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/boxicons/css/boxicons.min.css	(from https://technext.github.io/bocor/index.html)
12:00:29	19929/19929	---M-Z	200	added ('OK')	text/css	etag:W/%225e60e02c-4dd9%22	https://technext.github.io/bocor/assets/vendor/venobox/venobox.css	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/venobox/venobox.css	(from https://technext.github.io/bocor/index.html)
12:00:30	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%225e60e02c-65c5%22	https://technext.github.io/bocor/assets/vendor/aos/aos.css	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/vendor/aos/aos.css	(from https://technext.github.io/bocor/index.html)
12:00:30	22380/22380	---M-Z	200	added ('OK')	text/css	etag:W/%225e60e02c-576c%22	https://technext.github.io/bocor/assets/css/style.css	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/css/style.css	(from https://technext.github.io/bocor/index.html)
12:00:31	5282/5282	---M--	200	added ('OK')	image/png	etag:%225e60e02c-14a2%22	https://technext.github.io/bocor/assets/img/clients/client-1.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/clients/client-1.png	(from https://technext.github.io/bocor/index.html)
12:00:31	239141/239141	---M--	200	added ('OK')	image/png	etag:%225e60e02c-3a625%22	https://technext.github.io/bocor/assets/img/hero-img.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/hero-img.png	(from https://technext.github.io/bocor/index.html)
12:00:31	4582/4582	---M--	200	added ('OK')	image/png	etag:%225e60e02c-11e6%22	https://technext.github.io/bocor/assets/img/clients/client-2.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/clients/client-2.png	(from https://technext.github.io/bocor/index.html)
12:00:32	4707/4707	---M--	200	added ('OK')	image/png	etag:%225e60e02c-1263%22	https://technext.github.io/bocor/assets/img/clients/client-3.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/clients/client-3.png	(from https://technext.github.io/bocor/index.html)
12:00:32	9010/9010	---M--	200	added ('OK')	image/png	etag:%225e60e02c-2332%22	https://technext.github.io/bocor/assets/img/clients/client-4.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/clients/client-4.png	(from https://technext.github.io/bocor/index.html)
12:00:33	5123/5123	---M--	200	added ('OK')	image/png	etag:%225e60e02c-1403%22	https://technext.github.io/bocor/assets/img/clients/client-5.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/clients/client-5.png	(from https://technext.github.io/bocor/index.html)
12:00:33	3450/3450	---M--	200	added ('OK')	image/png	etag:%225e60e02c-d7a%22	https://technext.github.io/bocor/assets/img/clients/client-6.png	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/clients/client-6.png	(from https://technext.github.io/bocor/index.html)
12:00:33	16193/16193	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-3f41%22	https://technext.github.io/bocor/assets/img/services-1.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/services-1.jpg	(from https://technext.github.io/bocor/index.html)
12:00:34	27345/27345	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-6ad1%22	https://technext.github.io/bocor/assets/img/services-3.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/services-3.jpg	(from https://technext.github.io/bocor/index.html)
12:00:34	65711/65711	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-100af%22	https://technext.github.io/bocor/assets/img/services-2.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/services-2.jpg	(from https://technext.github.io/bocor/index.html)
12:00:34	16929/16929	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e60e02c-4221%22	https://technext.github.io/bocor/assets/img/features-1.svg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/features-1.svg	(from https://technext.github.io/bocor/index.html)
12:00:34	47218/47218	---M--	200	added ('OK')	image/jpeg	etag:%225e60e02c-b872%22	https://technext.github.io/bocor/assets/img/services-4.jpg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/services-4.jpg	(from https://technext.github.io/bocor/index.html)
12:00:35	14533/14533	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e60e02c-38c5%22	https://technext.github.io/bocor/assets/img/features-2.svg	C:/Users/Naqib%20Ali/Desktop/Bocor/bocor%20temp/technext.github.io/bocor/assets/img/features-2.svg	(from https://technext.github.io/bocor/index.html)
